Nombre,Apellido(s),"Dirección de correo"
CECILIA,RODRIGUEZ,mrodriguez@correo.com
Maria,FIGUEROA,mfigueroa@correo.com
LUCAS,MALIARDI,maliardi@correo.com
MARCOS,CASTRO,mcastro@correo.com
MARIA,MORALES,mmorales@correo.com
Daniel,NOGUEIRA,dnogueira@correo.com
CARINA,VELEZ,cvelez@correo.com
MARLEEN,BURGOS,mburgos@correo.com
MARIA,CASTRO,micastro@correo.com
NOELIA,MANCHO,nmancho@correo.com
MARIA,NATILLA,mnatilla@correo.com
FABIANA,PROGAL,fprogal@correo.com
GUSTAVO,RUBIO,grubio@correo.com
ALEJANDRO,TOLEDO,atoledo@correo.com
