institucion,sexo,fecha_nacimiento,cod_persona,nombre,apellido,area,salario,mail,socio
ASFE,M,24/08/1990,31-054-1896,Alonso,Syddall,Training,3883,asyddall0@topsy.com,1
ASFE,M,11/04/1984,93-328-1614,Bernhard,Ebbotts,Training,3304,bebbotts1@plala.or.jp,0
ASFE,F,07/10/1986,83-633-7650,Kalina,Rapps,Human Resources,2493,krapps2@rambler.ru,0
Blue Light,F,12/01/1986,74-256-9143,Nettie,Merner,Business Development,3638,nmerner3@godaddy.com,1
St. Mokaroo,F,07/10/1987,15-935-7225,Guillema,Loges,Services,469,gloges4@w3.org,1
ASFE,F,19/04/1982,04-065-8324,Joyous,Baldrey,Services,627,jbaldrey5@alibaba.com,1
St. Mokaroo,F,18/06/1981,72-249-9535,Margarita,Brizland,Product Management,4066,mbrizland6@netlog.com,1
St. Mokaroo,M,05/08/1986,74-610-1898,Tristan,Gouldeby,Engineering,2037,tgouldeby7@admin.ch,0
ASFE,M,07/09/1986,49-644-6789,Sol,Byng,Marketing,2397,sbyng8@homestead.com,0
St. Mokaroo,M,01/06/1984,89-057-7388,Holt,Kydd,Research and Development,894,hkydd9@xing.com,1
RedHat Hospital,M,03/04/1981,49-246-0542,Merrel,Duerdin,Product Management,291,mduerdina@dell.com,1
Blue Light,M,15/02/1987,37-440-7992,Bartram,Pimerick,Accounting,2050,bpimerickb@uol.com.br,1
RedHat Hospital,F,05/09/1985,43-792-9047,Lexy,Jandera,Support,1655,ljanderac@huffingtonpost.com,0
RedHat Hospital,M,17/02/1985,47-208-6690,Bucky,Brazelton,Training,1426,bbrazeltond@miitbeian.gov.cn,0
St. Mokaroo,F,17/05/1982,52-619-9784,Glori,Aronow,Support,4070,garonowe@diigo.com,0
St. Mokaroo,M,29/05/1984,49-304-8781,Arlin,McGinnis,Human Resources,2130,amcginnisf@livejournal.com,1
ASFE,M,08/06/1990,66-578-6374,Darwin,O'Crevy,Product Management,287,docrevyg@mtv.com,1
St. Mokaroo,F,22/10/1985,32-224-2245,Cosette,Skidmore,Marketing,4327,cskidmoreh@chron.com,1
ASFE,F,02/04/1982,51-105-8497,Mariellen,Krollman,Research and Development,2855,mkrollmani@guardian.co.uk,1
ASFE,F,11/06/1984,27-296-9259,Kattie,Steven,Legal,3992,kstevenj@bloglovin.com,1
RedHat Hospital,F,07/09/1984,75-001-9711,Petronia,Dredge,Sales,3023,pdredgek@github.io,1
ASFE,M,31/07/1982,60-141-4356,Elmer,Busswell,Accounting,1320,ebusswelll@google.co.uk,0
Blue Light,F,23/08/1988,41-247-4851,Lorena,Blare,Human Resources,230,lblarem@elpais.com,0
St. Mokaroo,F,15/07/1985,85-726-0906,Celesta,Dennert,Research and Development,2166,cdennertn@mashable.com,1
Blue Light,M,18/12/1986,84-484-1802,Geoffry,Slatford,Legal,2173,gslatfordo@marketwatch.com,0
St. Mokaroo,F,01/09/1990,17-675-5306,Adrianna,Marc,Business Development,4130,amarcp@chronoengine.com,0
ASFE,F,18/04/1986,85-181-4795,Adah,Borth,Sales,1646,aborthq@ed.gov,0
ASFE,F,23/03/1989,62-108-9368,Julita,Tomczak,Support,1829,jtomczakr@ihg.com,1
St. Mokaroo,M,07/07/1988,66-745-4613,Zack,Pesik,Legal,4105,zpesiks@ibm.com,1
St. Mokaroo,F,17/12/1988,22-429-3660,Melesa,Stearn,Product Management,4040,mstearnt@mediafire.com,0
RedHat Hospital,M,22/03/1990,56-032-1136,Guglielmo,Beams,Human Resources,1039,gbeamsu@admin.ch,0
St. Mokaroo,F,22/04/1990,64-727-5826,Pauletta,Adamini,Research and Development,616,padaminiv@furl.net,0
RedHat Hospital,M,11/02/1982,34-025-6402,Bondon,Ewestace,Business Development,1600,bewestacew@e-recht24.de,1
St. Mokaroo,F,21/01/1983,02-910-8252,Jackie,Creelman,Support,1001,jcreelmanx@yale.edu,1
St. Mokaroo,M,29/10/1983,17-072-7001,Hart,Spoerl,Training,1678,hspoerly@example.com,1
ASFE,M,24/04/1983,41-615-1455,Lisle,Thornthwaite,Sales,2379,lthornthwaitez@apple.com,0
RedHat Hospital,F,06/04/1986,18-175-1119,Cinderella,Grinval,Legal,3161,cgrinval10@nationalgeographic.com,0
